Title,Price,Capacity,Country,Unit,Characteristics,Quantity,Type,ABV,Vintage
"The Guv'nor, Spain",9.99,75.0,Spain,10.5,"Vanilla, Blackberry, Blackcurrant",per bottle,Red,14.0,Non-Vintage
"Bread & Butter 'Winemaker's Selection' Chardonnay 2020/21, California",15.99,75.0,USA,10.1,"Vanilla, Almond, Coconut, Green Apple, Peach, Pineapple, Stone Fruit",per bottle,White,13.5,2021
"Oyster Bay Sauvignon Blanc 2022, Marlborough",12.49,75.0,New Zealand,9.8,"Tropical Fruit, Gooseberry, Grapefruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,13.0,2022
Louis Latour Mâcon-Lugny 2021/22,17.99,75.0,France,10.1,"Peach, Apricot, Floral, Lemon",per bottle,White,13.5,2022
"Bread & Butter 'Winemaker's Selection' Pinot Noir 2021, California",15.99,75.0,USA,10.1,"Smoke, Black Cherry, Cedar, Raspberry, Red Fruit",per bottle,Red,13.5,2021
Louis Roederer 'Cristal' Champagne 2015,300.0,75.0,France,9.0,-,per bottle,White,12.0,2015
"La Gioiosa Prosecco DOC, Treviso",12.99,75.0,Italy,8.3,"Green Apple, Citrus Fruit, Floral",per bottle,White,11.0,Non-Vintage
The Macallan Sherry Oak 12 Year Old Single Malt Whisky 70cl,80.0,70.0,Scotland,28.0,-,per bottle,Brown,40.0,Non-Vintage
Bouvet Ladubay Saumur Brut,13.99,75.0,France,9.4,"Honeysuckle, Citrus Fruit",per bottle,White,12.5,Non-Vintage
"LB7 Red 2020/21, Lisbon",8.99,75.0,Portugal,10.1,"Spice, Black Fruit, Black Plum, Blackberry",per bottle,Red,13.5,2021
"The Ned 'Waihopai River' Sauvignon Blanc 2023, Marlborough",11.99,75.0,New Zealand,9.8,"Tropical Fruit, Gooseberry, Grapefruit, Grass, Green Apple, Lemon",per bottle,White,13.0,2023
Moët & Chandon 'Brut Impérial' Champagne,46.99,75.0,France,9.0,"Citrus Fruit, Biscuit, Bread",per bottle,White,12.0,Non-Vintage
"Chosen By Majestic Greek White 2022, Peloponnese",11.29,75.0,Greece,9.8,"Blossom, Lemon, Lime, Peach, Pear",per bottle,White,13.0,2022
"Miraval Rosé 2021/22, Côtes de Provence",22.99,75.0,France,9.8,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,13.0,2022
Taittinger Brut Réserve Champagne,45.99,75.0,France,9.4,-,per bottle,White,12.5,Non-Vintage
"Peyrassol 'Réserve des Templiers' Rosé 2022, Côtes de Provence",15.99,75.0,France,9.8,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,13.0,2022
Laurent-Perrier 'La Cuvée' Brut Champagne,49.99,75.0,France,9.0,"Green Apple, Biscuit, Bread, Citrus Fruit",per bottle,White,12.0,Non-Vintage
Heidsieck & Co. Monopole 'Gold Top' Champagne 2018,33.99,75.0,France,9.4,"Pear, Biscuit, Cream, Green Apple, Lemon, Quince, Red Apple",per bottle,White,12.5,2018
"Caves d'Esclans 'Whispering Angel' Rosé 2022, Côtes de Provence",23.99,75.0,France,10.1,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,13.5,2022
"Two Hands 'Angels' Share' Shiraz 2021/22, McLaren Vale",21.99,75.0,Australia,10.8,"Vanilla, Black Fruit, Black Pepper, Blackcurrant, Blueberry, Coffee, Jammy, Raisin, Red Fruit, Red Plum",per bottle,Red,14.4,2022
Cave de Lugny 'Reserve' Mâcon-Chardonnay 2021/22,15.99,75.0,France,9.8,"Peach, Apricot, Floral, Honey, Lemon",per bottle,White,13.0,2022
"Villa Maria 'Private Bin' Sauvignon Blanc 2022, Marlborough",12.49,75.0,New Zealand,9.4,"Tropical Fruit, Gooseberry, Grapefruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,12.5,2022
"Nyetimber 'Classic Cuvée' Brut, Sussex",42.99,75.0,England,9.0,"Peach, Biscuit, Bread, Citrus Fruit, Green Apple",per bottle,White,12.0,Non-Vintage
La Gioiosa Prosecco Valdobbiadene DOCG,15.99,75.0,Italy,8.3,"Pear, Citrus Fruit, Floral, Green Apple",per bottle,White,11.0,Non-Vintage
"Definition English Sparkling Brut, Hampshire",29.99,75.0,England,9.0,"Citrus Fruit, Cream, Green Apple, Pastry",per bottle,White,12.0,Non-Vintage
"Chapel Down Brut, Kent",29.99,75.0,England,9.8,"Pear, Cream, Green Apple",per bottle,White,13.0,Non-Vintage
"Mud House Sauvignon Blanc 2022, Marlborough",11.99,75.0,New Zealand,9.4,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,12.5,2022
"Château de Berne ‘Inspiration’ Rosé 2021/22, Côtes de Provence",17.99,75.0,France,9.8,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,13.0,2022
"Domaine La Chautarde Rosé 2022, Côteaux Varois en Provence",13.99,75.0,France,9.8,"Strawberry, Peach, Raspberry",per bottle,Rosé,13.0,2022
Marqués de Riscal Rioja Reserva 2018/19,17.99,75.0,Spain,10.9,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,14.5,2019
"Ridgeview 'Cavendish' Brut, Sussex",39.99,750.0,England,9.0,"Almond, Lemon, Red Cherry, Toast",per bottle,White,12.0,Non-Vintage
"The Ned ‘Skyscraper’ Sauvignon Blanc 2022, Marlborough",14.99,75.0,New Zealand,10.1,"Grapefruit, Grass, Green Apple, Lemon, Stone Fruit, Tropical Fruit, Wet Stones",per bottle,White,13.5,2022
"The Guv'nor VIP, Spain",11.99,75.0,Spain,10.5,"Cloves, Nutmeg, Ripe Fruit",per bottle,Red,14.0,Non-Vintage
Chanoine Frères 'Réserve Privée' Brut Champagne,45.99,75.0,France,9.4,"Bread, Citrus Fruit",per bottle,White,12.5,Non-Vintage
"Bread & Butter 'Winemaker's Selection' Cabernet Sauvignon 2021, California",15.99,75.0,USA,10.1,"Vanilla, Black Pepper, Blackcurrant, Coffee",per bottle,Red,13.5,2021
"Balfour ‘The White’ 2021, Kent",16.99,750.0,England,8.3,"Apricot, Blossom, Dried Herbs, Peach",per bottle,White,11.0,2021
Lanson 'Le Black Creation' Brut Champagne,42.99,75.0,France,9.4,"Honey, Bread, Citrus Fruit",per bottle,White,12.5,Non-Vintage
Jas des Vignes Rosé Méditerranée 2021/22,11.99,75.0,France,9.8,"Strawberry, Peach, Raspberry",per bottle,Rosé,13.0,2022
"The Gathering Storm Red 2022, Spain",7.99,75.0,Spain,9.0,-,per bottle,Red,12.0,2022
"Peyrassol ‘Les Commandeurs’ Organic Rosé, Côtes de Provence 2022",18.99,75.0,France,9.8,"Citrus Fruit, Red Fruit, Mineral",per bottle,Rosé,13.0,2022
"Abbotts & Delaunay 'Les Fleurs Sauvages' Viognier 2021/22, Languedoc",11.99,75.0,France,10.1,"Peach, Apricot, Blossom",per bottle,White,13.5,2022
